@relation WalkForward_3_BOOKKEEPER_TRAINING-SET_R[4.2.1]-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version {4.0.0,4.1.0,4.2.0,4.2.1}
@attribute NR numeric
@attribute NAUTHORS numeric
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute AVGLOCADDED numeric
@attribute MAXLOCADDED numeric
@attribute LOCTOUCHED numeric
@attribute CHURN numeric
@attribute AVGCHURN numeric
@attribute MAXCHURN numeric
@attribute NPBM numeric
@attribute NPVM numeric
@attribute NSM numeric
@attribute NAM numeric
@attribute LOCM numeric
@attribute BUGGY {YES,NO}

@data
4.2.0,1,1,866,0,0,0,0,0,0,0,44,8,2,52,64,YES
4.2.0,3,1,159,72,24,47,103,41,13.666667,28,7,0,0,7,114,NO
4.2.0,2,1,100,4,2,4,8,0,0,0,3,0,0,3,67,YES
4.2.0,2,1,96,4,2,4,8,0,0,0,3,0,0,3,67,YES
4.2.0,7,1,841,334,47.714287,179,386,282,40.285713,179,41,6,0,48,92,YES
4.2.0,9,3,525,127,14.111111,40,165,89,9.888889,28,8,0,2,17,73,YES
4.2.0,1,1,83,7,7,7,8,6,6,6,9,0,0,9,18,YES
4.2.0,0,0,63,0,0,0,0,0,0,0,7,0,0,7,39,NO
4.2.0,0,0,76,0,0,0,0,0,0,0,1,0,0,1,29,NO
4.2.0,2,1,202,11,5.5,11,11,11,5.5,11,17,0,1,17,44,NO
4.2.0,2,2,155,10,5,7,25,7,3.5,6,7,0,1,7,29,NO
4.2.0,11,3,1262,695,63.18182,330,1034,454,41.272728,199,47,4,1,58,207,YES
4.2.0,0,0,74,0,0,0,0,0,0,0,5,0,0,5,17,NO
4.2.0,2,2,101,18,9,18,27,9,4.5,9,7,0,0,7,23,NO
4.2.0,1,1,27,0,0,0,0,0,0,0,1,0,0,1,18,NO
4.2.0,0,0,22,0,0,0,0,0,0,0,1,0,0,1,15,NO
4.2.0,3,2,489,11,3.666667,5,14,8,2.666667,5,13,5,1,21,63,YES
4.2.0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,15,NO
4.2.0,1,1,59,0,0,0,0,0,0,0,3,0,0,3,19,NO
4.2.0,1,1,99,5,5,5,5,5,5,5,10,0,0,10,66,NO
4.2.0,0,0,27,0,0,0,0,0,0,0,1,0,0,1,19,NO
4.2.0,0,0,77,0,0,0,0,0,0,0,6,0,0,6,27,NO
4.2.0,8,2,846,298,37.25,128,494,124,15.5,73,28,2,0,38,236,YES
4.2.0,2,1,64,2,1,1,4,0,0,0,6,0,0,6,18,YES
4.2.0,0,0,45,0,0,0,0,0,0,0,4,0,0,4,30,NO
4.2.0,0,0,63,0,0,0,0,0,0,0,3,0,0,3,39,NO
4.2.0,1,1,54,0,0,0,0,0,0,0,4,0,0,4,16,NO
4.2.0,0,0,64,0,0,0,0,0,0,0,4,0,0,4,26,NO
4.2.0,1,1,132,0,0,0,0,0,0,0,8,1,0,9,17,NO
4.2.0,2,1,177,7,3.5,5,9,5,2.5,4,8,0,1,10,22,NO
4.2.0,1,1,70,0,0,0,0,0,0,0,3,0,0,3,15,NO
4.2.0,0,0,36,0,0,0,0,0,0,0,2,0,0,2,16,NO
4.2.0,0,0,58,0,0,0,0,0,0,0,1,0,0,1,16,NO
4.2.0,0,0,62,0,0,0,0,0,0,0,3,0,0,3,15,NO
4.2.0,0,0,132,0,0,0,0,0,0,0,3,0,0,3,30,NO
4.2.0,0,0,74,0,0,0,0,0,0,0,1,0,0,1,19,NO
4.2.0,0,0,83,0,0,0,0,0,0,0,4,0,0,4,15,NO
4.2.0,0,0,74,0,0,0,0,0,0,0,3,0,0,3,18,NO
4.2.0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,26,NO
4.2.0,1,1,74,0,0,0,0,0,0,0,1,0,0,2,24,NO
4.2.0,0,0,86,0,0,0,0,0,0,0,6,0,0,6,23,NO
4.2.0,2,1,355,22,11,20,44,0,0,0,16,3,0,19,44,NO
4.2.0,0,0,53,0,0,0,0,0,0,0,0,0,0,1,18,NO
4.2.0,10,2,798,313,31.3,94,440,226,22.6,74,46,7,1,60,96,YES
4.2.0,2,1,75,6,3,6,11,1,0.5,1,4,0,0,4,22,NO
4.2.0,5,2,125,48,9.6,20,60,36,7.2,16,1,0,0,8,22,YES
4.2.0,6,2,200,129,21.5,81,143,115,19.166666,77,11,0,0,11,36,YES
4.2.0,4,1,134,79,19.75,38,106,52,13,26,5,0,0,12,18,NO
4.2.0,0,0,57,0,0,0,0,0,0,0,2,0,0,2,40,NO
4.2.0,2,1,123,18,9,15,21,15,7.5,15,8,0,0,8,89,NO
4.2.0,1,1,204,4,4,4,5,3,3,3,13,1,0,17,40,NO
4.2.0,1,1,162,0,0,0,0,0,0,0,6,1,1,7,32,NO
4.2.0,2,1,130,1,0.5,1,2,0,0,0,7,0,1,7,30,NO
4.2.0,1,1,108,0,0,0,0,0,0,0,9,0,0,9,71,NO
4.2.0,2,1,353,1,0.5,1,2,0,0,0,23,0,0,27,37,YES
4.2.0,0,0,80,0,0,0,0,0,0,0,4,0,0,4,54,NO
4.2.0,0,0,28,0,0,0,0,0,0,0,2,0,0,2,15,NO
4.2.0,0,0,57,0,0,0,0,0,0,0,1,0,0,3,17,NO
4.2.0,2,2,306,2,1,2,8,4,2,4,14,2,0,16,36,YES
4.2.0,1,1,340,77,77,77,260,106,106,106,17,0,0,19,41,YES
4.2.0,0,0,104,0,0,0,0,0,0,0,10,0,0,10,15,NO
4.2.0,0,0,35,0,0,0,0,0,0,0,1,0,2,2,15,NO
4.2.0,0,0,98,0,0,0,0,0,0,0,12,0,0,12,15,NO
4.2.0,1,1,117,0,0,0,0,0,0,0,6,0,3,6,20,NO
4.2.0,0,0,58,0,0,0,0,0,0,0,3,0,3,3,15,NO
4.2.0,0,0,51,0,0,0,0,0,0,0,4,0,0,4,15,NO
4.2.0,0,0,57,0,0,0,0,0,0,0,6,0,0,6,15,NO
4.2.0,9,3,688,348,38.666668,168,373,323,35.88889,167,43,0,1,43,38,YES
4.2.0,3,2,198,54,18,29,104,54,18,29,10,2,0,12,37,YES
4.2.0,4,2,430,5,1.25,3,11,1,0.25,1,14,0,0,15,35,YES
4.2.0,2,2,172,24,12,23,30,18,9,18,9,0,0,12,35,YES
4.2.0,4,2,287,50,12.5,39,64,36,9,27,11,0,0,17,60,YES
4.2.0,1,1,35,0,0,0,0,0,0,0,1,0,0,1,19,YES
4.2.0,4,2,103,53,13.25,27,66,50,12.5,26,6,0,0,9,18,YES
4.2.0,8,3,1198,570,71.25,243,621,519,64.875,242,37,0,0,41,119,NO
4.2.0,3,3,139,18,6,14,27,9,3,7,2,1,1,3,23,YES
4.2.0,5,1,90,36,7.2,19,56,26,5.2,14,5,0,0,5,17,YES
4.2.0,2,2,297,129,64.5,129,158,100,50,100,20,0,0,20,29,YES
4.2.0,6,3,231,51,8.5,22,78,24,4,22,8,1,1,10,25,YES
4.2.0,4,2,399,125,31.25,111,171,79,19.75,76,22,2,0,24,30,YES
4.2.0,1,1,116,0,0,0,0,0,0,0,7,0,0,7,15,NO
4.2.0,6,2,178,17,2.833333,8,26,8,1.333333,4,2,0,0,3,23,NO
4.2.0,4,2,740,71,17.75,28,128,44,11,15,43,0,0,53,101,YES
4.2.0,1,1,36,0,0,0,0,0,0,0,1,0,1,1,15,YES
4.2.0,1,1,36,0,0,0,0,0,0,0,1,0,1,1,15,YES
4.2.0,1,1,36,0,0,0,0,0,0,0,1,0,1,1,15,YES
4.2.0,4,2,300,43,10.75,30,51,35,8.75,30,9,0,1,11,53,YES
4.2.0,2,1,79,5,2.5,5,6,4,2,4,3,0,1,3,16,NO
4.2.0,2,2,84,2,1,2,4,0,0,0,2,1,0,3,18,NO
4.2.0,6,2,365,186,31,88,244,128,21.333334,88,5,0,0,5,52,YES
4.2.0,5,2,306,19,3.8,7,23,15,3,7,18,1,0,19,34,YES
4.2.0,4,3,263,16,4,6,30,2,0.5,1,21,0,0,26,16,YES
4.2.0,6,2,41,20,3.333333,17,25,19,3.166667,17,1,0,0,1,20,YES
4.2.0,0,0,170,0,0,0,0,0,0,0,26,0,0,26,15,NO
4.2.0,5,2,258,24,4.8,13,31,17,3.4,12,11,1,0,15,38,YES
4.2.0,3,2,280,46,15.333333,39,53,39,13,39,9,1,0,11,24,YES
4.2.0,3,2,137,17,5.666666,9,21,13,4.333334,7,12,0,0,12,21,YES
4.2.0,0,0,48,0,0,0,0,0,0,0,3,0,0,3,15,NO
4.2.0,9,3,801,589,65.44444,341,620,558,62,334,49,5,1,59,94,YES
4.2.0,1,1,86,0,0,0,0,0,0,0,2,0,1,4,17,NO
4.2.0,4,3,359,234,58.5,219,248,220,55,214,9,0,0,11,33,NO
4.2.0,4,2,269,25,6.25,15,53,15,3.75,9,15,0,0,19,36,YES
4.2.0,0,0,53,0,0,0,0,0,0,0,2,0,1,3,15,NO
4.2.0,3,3,308,4,1.333333,3,7,1,0.333333,1,13,0,0,19,19,NO
4.2.0,0,0,54,0,0,0,0,0,0,0,1,0,1,2,15,NO
4.2.0,4,3,308,66,16.5,45,93,39,9.75,32,16,1,0,18,29,YES
4.2.0,2,1,55,4,2,4,6,2,1,2,2,0,0,2,15,NO
4.2.0,4,2,214,20,5,17,39,1,0.25,1,10,0,0,10,30,NO
4.2.0,2,2,247,4,2,2,7,1,0.5,1,9,0,0,10,32,YES
4.2.0,0,0,64,0,0,0,0,0,0,0,2,0,0,3,17,NO
4.2.0,2,2,206,1,0.5,1,2,0,0,0,8,1,0,9,34,YES
4.2.0,2,2,62,1,0.5,1,2,0,0,0,1,0,0,1,18,NO
4.2.0,2,2,60,1,0.5,1,2,0,0,0,1,0,0,1,18,NO
4.2.0,2,2,321,5,2.5,5,10,0,0,0,19,0,0,21,24,NO
